learning_rate,rmse
0.05,0.28912996133366986
0.075,0.24364036687374788
0.1,0.20051219057539335
0.125,0.16286345487394902
0.15,0.1329724317699353
0.175,0.11091991279389206
0.2,0.09491089244668537
0.22499999999999998,0.08180179894696765
0.25,0.07105344971058515
0.27499999999999997,0.06534387766406222
0.3,0.061272722020566134
0.32499999999999996,0.05818268901787399
0.35,0.05727690682129947
0.37499999999999994,0.05768738093904777
0.39999999999999997,0.059643941655686365
0.42499999999999993,0.06355957057276963
0.44999999999999996,0.07050240305749367
0.475,0.07894663551154493
0.49999999999999994,0.08656119131783709
0.525,0.09446793206449183
0.5499999999999999,0.10278897359674913
0.575,0.11144266487248516
0.6,0.11941230840411157
0.625,0.1256426482016882
0.65,0.13052081265199417
