day,mean,lower,upper,model_mean,residual,inside_plotted_bar
1,0.09,0.07,0.11,0.11632180845464493,0.026321808454644935,False
7,0.4,0.24,0.55,0.39571248369672063,-0.004287516303279393,True
14,0.38,0.22,0.54,0.5254390263307415,0.14543902633074146,True
28,0.65,0.45,0.85,0.6551505282558978,0.0051505282558977905,True
