day,mse,background_mse,score
0,0.2657470654130797,0.0287626223983601,0.0
1,0.23363942359361106,0.02856029389310343,0.12082030621696693
2,0.2110515945850848,0.02802250930429719,0.20581777918403632
3,0.1812311100431404,0.028326440410181397,0.3180315659876315
4,0.18018920229169472,0.027001666033581905,0.32195224052010896
5,0.1573208349097371,0.027403245521990936,0.40800537283376526
6,0.1508840103904583,0.02661509386440214,0.43222699315259494
7,0.14170540604345955,0.026371358987989833,0.46676586692240096
8,0.14475958190754726,0.025875046028278902,0.4552730744833188
9,0.12472211599409325,0.02582434221872363,0.5306735906933759
10,0.1241386227253142,0.025263910843002963,0.53286926223493
11,0.1183768370936515,0.024972039606364193,0.5545507269867855
12,0.11811414224717329,0.024324860244333748,0.5555392415582254
13,0.10921540523197319,0.024378294853361328,0.5890249810954347
14,0.10993769351972724,0.023684698059838007,0.5863070271393624
15,0.11002204212112916,0.023202051376891627,0.5859896253224475
16,0.11220418616429104,0.02267588986489455,0.5777782682571497
17,0.10475788220913015,0.022493106266027723,0.6057985361144307
18,0.09971251875330005,0.022416621027110086,0.6247841209523575
19,0.09779797674848029,0.022061656901943144,0.6319884977978507
20,0.09659235649697713,0.021596924062081208,0.6365252186441529
21,0.09739979177065797,0.02104197080196689,0.6334868585688469
22,0.09449208429003697,0.02087120129675985,0.6444284939020584
23,0.09773633915021546,0.020282383229477074,0.6322204386404298
24,0.09551985720815087,0.01986194152810637,0.6405610084172559
25,0.09539065834768762,0.019562721323647517,0.6410471807114351
26,0.08832160648141701,0.019527109142596477,0.6676478577698343
27,0.08422212061632382,0.019338975155186955,0.6830741273270198
28,0.08668134181866859,0.018726084708096825,0.6738201353835072
