epoch,mse,bit_accuracy,positive_recall,sibling_distance,within_domain_distance,between_domain_distance,nearest_sibling_fraction,hierarchy_ordered
0,0.22671744720576112,0.49032258064516127,0.3025210084033613,0.2625436016844588,0.3187122038527834,0.2981841654481831,0.375,False
1,0.052241719851710354,0.9360215053763441,0.0,0.2625901273943818,0.31919248236760406,0.29842796959331047,0.375,False
2,0.04619612489167716,0.9360215053763441,0.0,0.2623888018467239,0.3191241156532847,0.298211538265301,0.375,False
3,0.04501545126285368,0.9360215053763441,0.0,0.26233971418274743,0.3191319829671403,0.2981144961054786,0.375,False
4,0.044534079622868344,0.9360215053763441,0.0,0.26231004136595876,0.3191298104813858,0.2980409871046995,0.375,False
5,0.044186167650863736,0.9360215053763441,0.0,0.2622950194983386,0.31914032212727217,0.297986558313037,0.375,False
6,0.04389750020525589,0.9360215053763441,0.0,0.2623024473841408,0.3191692431331299,0.2979628683530947,0.375,False
7,0.0436988305366813,0.9360215053763441,0.0,0.26230408384666665,0.3191879583335452,0.29793364284507806,0.375,False
8,0.04351744118860513,0.9360215053763441,0.0,0.2623187174629019,0.3192114247857119,0.2979030799786389,0.375,False
9,0.04311375371275854,0.9360215053763441,0.0,0.26233154504731715,0.31923257135990973,0.29788050899515717,0.375,False
10,0.04276833685831016,0.9360215053763441,0.0,0.26235097249001743,0.31926087487627075,0.29786513415427923,0.375,False
11,0.04243374408820061,0.9360215053763441,0.0,0.26238904837038785,0.3193049538079471,0.2978730933585566,0.375,False
12,0.04207788933899824,0.9360215053763441,0.0,0.26240718089475396,0.319318050500547,0.29786070547870946,0.375,False
13,0.04168096482691027,0.9360215053763441,0.0,0.2624295240388016,0.31934523098546413,0.2978511658703329,0.375,False
14,0.041252086006135266,0.9360215053763441,0.0,0.2624086940887614,0.31936423553417365,0.2978216615269442,0.375,False
15,0.04073728530069686,0.9360215053763441,0.0,0.2624196997334341,0.31937381301759116,0.29780082776717504,0.375,False
16,0.040245753867034946,0.9360215053763441,0.0,0.26243666630203244,0.3193839091002796,0.2977901339385688,0.375,False
17,0.03965192204689226,0.9360215053763441,0.0,0.262449374521021,0.319382666151381,0.2977649880900819,0.375,False
